Year,Annual_Heatwave_GOA,Summer_250m_Temperature_GOA_Slope,Spring_Surface_Temperature_EGOA,Spring_Surface_Temperature_SEBS,Spring_Peak_Chlorophyll_Concentration_EGOA,Spring_Peak_Chlorophyll_Concentration_SEBS,Spring_Peak_Bloom_Timing_EGOA,Spring_Peak_Bloom_Timing_SEBS,Copepod Community Size EGOA Oceanic,Copepod Community Size WGOA Oceanic,Summer_Euphausiid_Abundance_Kodiak,Sablefish_Growth_YOY_Middleton_Auklets,Summer_Sablefish_CPUE_Juvenile_WGOA_EAI_ADFG,Summer_Sablefish_CPUE_Juvenile_GOA_BTS_Survey,Sablefish_Spawner_Mean_Age,Sablefish_Spawner_Age_Evenness,Summer_Sablefish_Condition_Age_4_GOA_LL_Survey,Arrowtooth_Biomass_Assessment,Sablefish_Catch_Arrowtooth_Fishery,Summer_Sablefish_Condition_Adult_GOA_LL_Survey,Sablefish_CPUE_Longline_Fishery_GOA,Sablefish_CPUE_Pot_Fishery_EBS,Sablefish_Incidental_Catch_BSAI_Fisheries,Sablefish_Incidental_Catch_GOA_Fisheries,Sablefish_Condition_Adult_GOA_Fishery,Sablefish_Condition_Adult_BSAI_Fishery,Annual_Sablefish_Real_Exvessel_Value,Annual_Sablefish_Real_Exvessel_Price
1992,0,NA,-0.374605888,-0.352738473,NA,NA,NA,NA,NA,NA,NA,NA,0.039093186,NA,0.389354346,0.425106047,NA,0.46957391,-1.032411971,NA,NA,NA,-0.939149928,1.638658587,NA,NA,NA,NA
1993,0.169569426,NA,0.94425793,0.699532925,NA,NA,NA,NA,NA,NA,NA,-1.198173536,0.671799604,-1.361063542,0.677395851,0.27472258,NA,0.54875368,-0.477249758,NA,NA,NA,0.442736499,0.749571108,NA,NA,NA,NA
1994,0,NA,-0.231229292,-1.047361968,NA,NA,NA,NA,NA,NA,NA,-0.278006969,0.169038403,NA,0.820403223,0.401606087,NA,0.587853936,-1.36208572,NA,NA,NA,0.381459783,0.725163713,NA,NA,NA,NA
1995,0,NA,-0.170964405,-0.431257881,NA,NA,NA,NA,NA,NA,NA,-1.254166511,-0.470702244,NA,0.822248357,0.567777482,NA,0.571438165,0.939250726,NA,NA,NA,0.279111024,0.35768408,NA,NA,NA,NA
1996,0,NA,0.5406096,0.253754306,NA,NA,NA,NA,NA,NA,NA,-0.299406483,-0.658784269,-0.189871103,0.770301384,0.721790776,0.334301275,0.551151155,0.081251688,-0.467075157,0.977258682,NA,-0.281547438,-0.005589445,NA,NA,NA,NA
1997,0.968776447,NA,0.828836165,0.451032444,NA,NA,NA,NA,NA,NA,NA,0.48444083,-0.773718904,NA,0.742410571,0.568091784,-0.530425487,0.533416144,-1.251989053,0.447441263,1.221152552,NA,-0.570488162,-0.534292107,NA,NA,NA,NA
1998,0.999450247,NA,0.000212982,-0.660841191,NA,NA,NA,NA,NA,NA,NA,-0.243167048,-0.011270525,NA,0.782015273,0.674953938,-0.014206517,0.59918736,-0.703385234,1.60373192,0.889540683,NA,-0.059890119,-1.327219207,NA,NA,NA,NA
1999,0,NA,-1.278868175,-1.257580918,NA,NA,NA,NA,NA,NA,NA,-0.636912461,-0.032799801,0.374484688,0.817305146,0.047751089,-0.338534188,0.733914677,-0.445872416,1.475059605,0.951747211,-1.247669184,0.138867226,-0.509069735,1.258195966,-1.206932034,NA,NA
2000,0,NA,0.228645671,-0.194383127,NA,NA,NA,NA,NA,NA,NA,2.436962681,0.292952581,NA,0.767384552,0.027788665,0.69110549,0.956100523,0.701196237,1.481974642,1.120296786,-0.551434302,0.380158334,-0.29209895,2.520149332,0.582910935,NA,NA
2001,0.478575931,NA,-0.633634878,-0.127490749,NA,NA,NA,NA,NA,NA,NA,0.26687867,0.806711768,1.170054816,0.573064232,0.175936139,1.534191219,1.112013748,-0.571402355,0.941052705,0.086115213,1.229936692,0.201934906,-1.486434938,0.466300078,-0.112745322,NA,NA
2002,0.513085895,NA,-0.784538787,0.471474171,NA,NA,NA,NA,-0.345339276,0.254878013,NA,0.649781398,-0.127247589,NA,0.207309274,-0.485237837,0.034956156,1.251992036,0.267315933,1.083528451,0.536001047,0.085894293,0.317418494,-0.067562676,2.007079287,-0.436641975,NA,NA
2003,1.171066378,NA,0.764920104,1.307692884,0.082214052,0.32762236,-0.349767585,-1.715760342,0.147540658,-1.35931264,-1.227408675,-0.545632946,0.619912342,-0.06936196,-0.212693854,-0.315934453,-0.4283163,1.342632444,0.834794248,-0.227353923,0.727124191,-0.600234362,0.369494872,0.535988669,0.500534601,0.685343255,0.121286929,-0.611767732
2004,0.875498219,NA,0.859845457,1.03395624,0.232397193,0.991488558,-0.769488686,-0.222519073,-0.513316714,0.010281759,NA,1.526587074,0.72295042,NA,-0.603535683,-0.133595156,1.447058095,1.37324651,-1.243214638,1.336666982,1.265979621,-0.769183342,-0.013012084,0.132896263,-0.302468098,1.138879726,-0.147870366,-1.093745878
2005,1.35323038,-0.027737137,2.277274091,0.939756004,0.28520428,0.993848678,-0.349767585,-1.195573832,-1.552037361,-0.376171811,0.997089735,1.014514181,0.512189311,0.128818108,-0.900761065,0.057758728,-0.227875038,1.427607426,-0.430813172,-0.698140435,0.794391331,0.574664915,0.115898317,0.326612399,0.284244725,0.645607192,-0.250406478,-1.014951149
2006,0.371481362,1.087722498,0.086703257,-0.500003737,-1.041203967,-0.795359746,-0.769488686,0.566940447,-0.607308308,0.391065381,NA,-0.469379601,-0.291011894,NA,-1.04922113,0.264798852,0.737882793,1.433304744,0.119590664,-0.52925667,0.305015051,0.145948897,-0.15885336,0.547455626,-0.849520684,-2.378160592,0.232367717,-0.547299317
2007,0,-0.732971627,-1.15096178,-0.953074007,-0.418473433,-0.13047717,2.168559025,-0.608069072,1.433320755,2.034407396,NA,-0.148724226,-1.205191423,0.111175837,-1.008734093,0.472514227,-0.676171032,1.352990147,-0.339800068,-1.141734122,0.078412279,1.070883041,-0.799909517,0.888178231,-0.726097267,-0.757951174,0.270818759,-0.538089544
2008,0,0.545781512,-1.836437189,-1.355559156,0.539279959,0.304868933,-0.769488686,1.028895734,1.361242995,0.166239407,NA,-1.016401106,-0.717136513,NA,-0.821162344,0.621838126,0.80015062,1.236060583,-1.454806395,0.050867008,0.409466436,0.582371183,-0.061434817,0.836550365,0.046247356,-0.489940394,0.3989889,-0.102160265
2009,0,-0.173250425,-0.0449329,-0.53715909,0.940552588,1.509865037,-0.349767585,1.56447456,1.184136463,0.904008301,NA,-0.189706642,-0.933459941,0.042496218,-0.577610503,0.773462955,1.893187392,1.042745919,-1.337776452,-0.45469122,0.225236764,-0.428176015,-0.532118736,0.419189688,-0.336699183,-0.537113071,0.108469915,0.125014148
2010,-0.119542848,-2.510993234,-0.183673953,-1.282832892,0.641682879,1.623051197,0.489674619,0.524101551,0.363408461,0.901031213,NA,-1.7045656,-1.017906395,NA,-0.338205439,0.632732175,0.500049956,0.815302251,-0.308455569,0.232150523,0.070883554,-0.63889142,-0.5543556,-0.054691817,-0.635865108,0.165355832,0.433167604,0.89351858
2011,0,0.25347476,0.576695047,-0.38774098,-0.863977638,0.331398568,0.90939572,-0.693746853,1.111256557,0.141078615,1.307195892,-0.441105335,0.610920091,-0.441726748,-0.127620089,0.761554077,-0.923841318,0.578351717,0.838341331,-0.29078867,0.448388217,-1.233586081,-0.934762508,-0.030544209,0.222921387,0.950645663,2.641966355,2.209492882
2012,0,0.328151668,-1.136587265,-1.502555478,0.003137624,-0.902516428,2.168559025,1.276842029,0.36596827,0.422607733,NA,-1.082859245,-1.389074916,NA,0.0181398,0.833088339,0.609678696,0.32512202,0.097482927,0.192238612,0.384887573,-0.616333447,-0.443648737,-1.159635406,-1.239162854,1.49785913,1.27909053,0.830073474
2013,0,-0.939222134,-0.242841171,-0.866892225,0.014202921,-0.649003174,0.069953517,0.03451426,0.741769675,0.44098034,0.343480437,-0.260503397,-2.615306014,-2.136846855,0.097718506,0.874455209,-0.261294438,0.12654097,-0.765564043,-1.628010624,-1.370878944,-0.695885476,-0.658721373,-0.951908612,-1.701913447,1.369881853,-0.455478702,-0.368220388
2014,1.349858836,1.201515881,1.149496753,0.779007407,3.101898024,0.932130698,-0.349767585,0.089592823,0.227046836,0.606476063,NA,0.749750903,-1.071843383,NA,0.150309595,0.992170152,0.521802003,-0.082667447,0.227610324,0.087749394,-0.705051281,-0.987027967,-1.82460173,-0.921418217,-0.536294042,-0.53057992,-0.318763886,0.339908862
2015,1.571144567,-0.080793302,1.827371798,0.869617812,0.381812065,0.889521872,0.069953517,0.413944416,-0.793845623,-0.378202491,0.198757582,0.542895086,1.168894134,1.348198047,0.24920489,0.913401424,-1.705653965,-0.365965647,0.180919808,-2.060456688,-0.926727626,-0.846383007,-1.990390553,-0.749834213,-1.162081838,-0.819163249,-0.340125576,0.499544936
2016,1.8840269,-1.54374948,2.032090102,2.257111734,-0.508871486,-1.091543664,0.069953517,0.297667426,-0.52700867,-1.59007479,NA,1.190553258,0.828893002,NA,0.298511516,-1.756076648,0.033911081,-0.553889694,0.470137431,-0.796553691,-1.673432651,-0.664929078,-0.367752785,-0.760702825,0.598819602,0.232744146,-0.451206364,0.895565197
2017,0.526392176,0.47394944,0.020404201,0.875191451,-0.967131361,-1.363454788,-0.769488686,-1.593363509,0.444697875,-0.294109294,-1.210973028,-0.120332938,0.510406266,1.843367432,0.160137667,-1.510422671,-2.434955864,-0.731260396,1.524474803,-1.342496965,-1.440983559,0.550666173,0.691442734,0.20044496,-0.128863753,NA,0.638239828,1.458384688
2018,0.918605762,0.860135733,0.102760098,1.305388542,-0.891784308,-1.385225848,-1.189209788,1.405358696,-0.940052296,-2.339744696,NA,0.056238364,1.560869034,NA,-0.642165714,-2.923080027,-0.503846234,-0.819703814,2.203136454,0.939840228,-1.784745123,1.152135998,0.915669514,1.818615531,0.000422813,NA,-0.634916899,-0.199374541
2019,1.713398166,0.592010074,1.266480201,2.213747585,-0.355734848,-0.920142133,0.90939572,-1.097656374,-2.101480295,0.064561498,-0.408141942,2.274425382,1.698680887,0.475803906,-1.916034298,-2.549395704,-1.093154395,-0.931229305,1.954416322,-0.245066154,-1.627452181,1.427053111,2.411046862,1.746519024,0.072188711,NA,-1.493656839,-1.172540607
2020,0.929076738,0.665975773,0.253861634,1.434516194,-1.175204542,-0.66607295,-1.189209788,-0.075642886,NA,NA,NA,-0.467309322,2.008656279,NA,-2.99858032,-2.31480248,NA,-0.96635166,1.28490795,0.009322987,-0.962625827,2.460179376,3.043577309,0.595850189,-0.358137583,NA,-2.031971428,-1.603353345
