Year,Annual_Heatwave_GOA,Summer_250m_Temperature_GOA_Slope,Spring_Surface_Temperature_EGOA,Spring_Surface_Temperature_SEBS,Spring_Peak_Chlorophyll_Concentration_EGOA,Spring_Peak_Chlorophyll_Concentration_SEBS,Spring_Peak_Bloom_Timing_EGOA,Spring_Peak_Bloom_Timing_SEBS,Copepod Community Size EGOA Oceanic,Copepod Community Size WGOA Oceanic,Summer_Euphausiid_Abundance_Kodiak,Sablefish_Growth_YOY_Middleton_Auklets,Summer_Sablefish_CPUE_Juvenile_WGOA_EAI_ADFG,Summer_Sablefish_CPUE_Juvenile_GOA_BTS_Survey,Sablefish_Spawner_Mean_Age,Sablefish_Spawner_Age_Evenness,Summer_Sablefish_Condition_Age_4_GOA_LL_Survey,Arrowtooth_Biomass_Assessment,Sablefish_Catch_Arrowtooth_Fishery,Summer_Sablefish_Condition_Adult_GOA_LL_Survey,Sablefish_CPUE_Longline_Fishery_GOA,Sablefish_CPUE_Pot_Fishery_EBS,Sablefish_Incidental_Catch_BSAI_Fisheries,Sablefish_Incidental_Catch_GOA_Fisheries,Sablefish_Condition_Adult_GOA_Fishery,Sablefish_Condition_Adult_BSAI_Fishery,Annual_Sablefish_Real_Exvessel_Value,Annual_Sablefish_Real_Exvessel_Price
1990,8.7174,NA,9.053304149,3.641595229,NA,NA,NA,NA,NA,NA,NA,-0.620042358,0.540088401,0.188927821,12.24461152,0.794199547,NA,1580890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,0,NA,7.839324524,3.07154239,NA,NA,NA,NA,NA,NA,NA,NA,0.629453682,NA,12.649048,0.762926532,NA,1634520,NA,NA,NA,NA,784.03,988.81,NA,NA,NA,NA
1992,0,NA,8.46175119,3.358874944,NA,NA,NA,NA,NA,NA,NA,NA,1.009586645,NA,13.08297111,0.765378198,NA,1678640,63.74,NA,NA,NA,284.14,3014.47,NA,NA,NA,NA
1993,19.104,NA,9.497523336,4.499104705,NA,NA,NA,NA,NA,NA,NA,-0.887941942,2.044292446,0.02926736,13.44230764,0.750186474,NA,1700620,105.41,NA,NA,NA,752.07,2394.86,NA,NA,NA,NA
1994,0,NA,8.574352266,2.606188533,NA,NA,NA,NA,NA,NA,NA,-0.206025288,1.167002801,NA,13.6207117,0.763004235,NA,1711580,47.28,NA,NA,NA,720.3,2379.78,NA,NA,NA,NA
1995,0,NA,8.621681407,3.273792173,NA,NA,NA,NA,NA,NA,NA,-0.929437193,0.571828794,NA,13.62301353,0.779790855,NA,1706970,380.46,NA,NA,NA,670.2,2163.88,NA,NA,NA,NA
1996,0,NA,9.180517371,4.016063876,NA,NA,NA,NA,NA,NA,NA,-0.221884031,0.463643235,0.218049709,13.55820883,0.795349264,0.004025475,1701290,174.85,-0.013552473,0.381535714,NA,451.54,1969.71,NA,NA,NA,NA
1997,142.05,NA,9.406876639,4.229832306,NA,NA,NA,NA,NA,NA,NA,0.359009207,0.407872824,NA,13.52341458,0.779822605,-0.017146153,1696340,52.24,-0.000286945,0.398458681,NA,368.39,1717.82,NA,NA,NA,NA
1998,150.8487,NA,8.756115885,3.025018213,NA,NA,NA,NA,NA,NA,NA,-0.180206134,0.954451945,NA,13.5728221,0.790617811,-0.004507252,1714770,85.88,0.016485642,0.37544926,NA,527.84,1399.12,NA,NA,NA,NA
1999,0,NA,7.751587126,2.378397581,NA,NA,NA,NA,NA,NA,NA,-0.47200282,0.931811636,0.573883868,13.61684679,0.727257833,-0.012447962,1753150,108.45,0.014619184,0.37976556,7.299887652,607.16,1729.07,0.014327631,-0.050494455,NA,NA
2000,0,NA,8.935515921,3.530467062,NA,NA,NA,NA,NA,NA,NA,1.805983283,1.339922132,NA,13.55457003,0.725241231,0.012761328,1818330,306.64,0.01471949,0.391460642,15.43462536,719.64,1828.94,0.040902133,-0.000613386,NA,NA
2001,46.9135,NA,8.258322293,3.60295091,NA,NA,NA,NA,NA,NA,NA,0.197778333,2.376165347,2.245302533,13.31215222,0.740207076,0.033403105,1865510,96.79,0.006873141,0.319702296,36.2479833,634.74,1342.64,-0.002348293,-0.020000605,NA,NA
2002,51.2736,NA,8.139809628,4.251982737,NA,NA,NA,NA,-0.01706314,0.020469915,NA,0.481539726,0.838668043,NA,12.85586688,0.673415337,-0.003303572,1908910,206.96,0.008939825,0.350918346,22.88110799,688.53,1938.37,0.030097787,-0.02902727,NA,NA
2003,207.8493,NA,9.356680042,5.158100176,2.198025872,3.971011374,125,109.9022556,0.013264811,-0.095092956,200382.7413,-0.404357435,1.929370735,0.26810019,12.33190604,0.690518351,-0.014646152,1937550,346.101,-0.010075194,0.364179732,14.86445042,714.255,2266.074,-0.001627375,0.002241296,111.4,3.149
2004,117.6447,NA,9.431229844,4.861482146,2.341034133,4.727370407,117,124.5789474,-0.027399149,0.00295882,NA,1.131322509,2.164281383,NA,11.84432441,0.708938251,0.031269773,1947320,52.657,0.012611728,0.401569079,12.89046768,545.56,2041.586,-0.018537189,0.014880888,105.1,2.678
2005,284.6038,-0.00384,10.54441005,4.759407802,2.391318404,4.73005935,125,115.0150376,-0.091313839,-0.0247081,569076.5121,0.751835744,1.710995542,0.376599095,11.47353084,0.728268804,-0.009738627,1964790,109.94,-0.016904193,0.36884717,28.59185435,597.416,2146.549,-0.006182056,0.001133893,102.7,2.755
2006,35.1361,0.153,8.824041183,3.199299917,1.128278253,2.691570333,117,132.3383459,-0.033182651,0.030219818,NA,-0.347847638,0.698689624,NA,11.28832446,0.749183979,0.013906605,1966630,181.031,-0.014454448,0.334891012,23.5827799,492.299,2272.809,-0.030057147,-0.083135382,114,3.212
2007,0,-0.103,7.852038651,2.708357934,1.721258332,3.44908735,173,120.7894737,0.092381594,0.147869688,NA,-0.110216487,0.252102102,0.365377079,11.33883271,0.770167369,-0.020714529,1940850,119.391,-0.023338746,0.319167816,34.38961658,313.42,2482.328,-0.027458068,-0.037981824,114.9,3.221
2008,0,0.0768,7.313699267,2.272229435,2.63325582,3.945087837,117,136.8787879,0.087946496,0.014124114,NA,-0.753234106,0.434436001,NA,11.57283156,0.785252056,0.015431146,1903920,43.47,-0.006039457,0.342138539,28.6818936,527.266,2449.381,-0.011193859,-0.030512641,117.9,3.647
2009,0,-0.0243,8.720660483,3.159038783,3.015357969,5.317969436,125,142.1428571,0.077048754,0.066942343,NA,-0.140587719,0.341324379,0.324785379,11.8766665,0.800569183,0.042192626,1844400,48.333,-0.013372838,0.329355468,16.87476268,378.482,2198.6,-0.019258035,-0.031827295,111.1,3.869
2010,6.522,-0.353,8.61169994,2.351034818,2.730766522,5.446925203,141,131.9172932,0.026547615,0.066729208,NA,-1.263218761,0.310650888,NA,12.17532827,0.786352572,0.0080836,1776750,122.8305533,-0.003409847,0.318645423,14.41278527,372.600011,1944.83753,-0.025557939,-0.012250214,118.7,4.62
2011,0,0.0357,9.208857144,3.320946611,1.297037735,3.975313701,149,119.9473684,0.072564299,0.012322807,620474.2599,-0.326894157,1.910121655,0.141579981,12.43803697,0.79936615,-0.02677839,1708910,347.2151903,-0.010995348,0.344839189,7.464433198,285.019458,1957.029838,-0.007473417,0.009635,170.4,5.906
2012,0,0.0462,7.863327703,2.112945831,2.122727257,2.569484098,173,139.3157895,0.026705126,0.032477993,NA,-0.802484876,0.205365548,NA,12.61987484,0.806592535,0.010767707,1639270,177.4406099,-0.00398879,0.340433095,14.67635033,402.8177877,1461.136852,-0.03826232,0.024885272,138.5,4.558
2013,0,-0.132,8.565232855,2.801743569,2.133263918,2.858317963,133,127.1052632,0.049828985,0.033793322,460745.7191,-0.193053748,0.052324272,0.007738694,12.71915059,0.810771412,-0.010556854,1586650,81.17516333,-0.030392435,0.218606422,13.7468725,346.1918643,1541.838122,-0.048007028,0.021318678,97.9,3.387
2014,283.015,0.169,9.658708026,4.585222383,5.07344685,4.659742542,125,127.6466165,0.018156995,0.045641464,NA,0.555625085,0.292518034,NA,12.78475884,0.822662966,0.008616169,1533040,199.646315,-0.00550446,0.264805941,10.34519318,152.2889152,1554.052945,-0.023461149,-0.031645223,101.1,4.079
2015,402.3217,-0.0113,10.19107845,4.683406826,2.483310828,4.611197262,133,130.8345865,-0.044660689,-0.02485348,436759.0015,0.402328463,3.558524516,3.047444751,12.90813235,0.814705756,-0.045919981,1463320,191.3759905,-0.036665286,0.249424573,11.98847462,135.5041739,1624.61834,-0.036639131,-0.039687741,100.6,4.235
2016,630.866,-0.217,10.35185435,6.186880043,1.635178974,2.354120735,133,129.6917293,-0.028241644,-0.111613642,NA,0.88229471,2.435669279,NA,12.96964318,0.545035309,-0.003329159,1418830,248.7147715,-0.018331728,0.197613248,14.10856391,424.9380168,1620.054972,0.000442333,-0.010372172,98,4.622
2017,53.0334,0.0667,8.771973096,4.68944636,1.198812099,2.044325726,117,111.1052632,0.031549526,-0.018833094,203106.8254,-0.089176283,1.707597091,7.123314483,12.79701952,0.569851253,-0.06377592,1378080,646.5599925,-0.026250914,0.2137421,28.31145548,896.063385,2077.590521,-0.014881389,NA,123.5,5.172
2018,128.4953,0.121,8.836651453,5.155603216,1.270559507,2.019521424,109,140.5789474,-0.053657096,-0.165283886,NA,0.041677103,5.509229132,NA,11.79613281,0.427144728,-0.016495397,1358200,1195.855203,0.006855553,0.189889653,35.33896789,1049.375238,3158.185251,-0.012158843,NA,93.7,3.552
2019,496.7389,0.0833,9.750581194,6.139891126,1.780999631,2.549402701,149,115.9774436,-0.125122231,0.006844806,336170,1.685530209,6.424342636,0.682771109,10.20696073,0.464894286,-0.030923784,1333540,954.5555601,-0.010332119,0.200803676,38.55107154,3008.667082,3099.803499,-0.01064758,NA,73.6,2.601
2020,131.2405,0.0937,8.955319324,5.295524525,1.000679448,2.838869949,109,126.0225564,NA,NA,NA,-0.346313397,9.076947778,NA,8.856466704,0.488592874,NA,1325867,520.3954362,-0.006642075,0.246933718,50.62201399,4697.516613,2301.45426,-0.019709489,NA,61,2.18
